inventory_id,store_unit,item_number,active_flag,id,item_number_str,item_desc
41830791,16604,78472,0,41830791,78472,WHIRLPOOL GAS DRYER WHITE
41830793,16604,80352,0,41830793,80352,GTD65GBSJW S GE  GE GAS
41830811,16604,83202,0,41830811,83202,HETL GAS  DRYER
41831923,16633,63633,0,41831923,63633,36IN RANGE  HOOD
41833163,16920,65453,0,41833163,65453,GE  CAFE 36 HOOD
41836449,18284,57423,0,41836449,57423,HOOD SHELL 18 X 42  SS
41836471,18284,62763,0,41836471,62763,JAIRHOODS
41836473,18284,63023,0,41836473,63023,36IN CANPY  HD ESTAR
41837417,18603,41102,0,41837417,41102,WF520ABW  WASHER WHITE
41837543,18603,72585,0,41837543,72585,DV50K8600E V SAM  SAMSUNG
41837553,18603,72585,0,41837553,72585,DV50K8600E V SAM  SAMSUNG
41837649,18603,89762,0,41837649,89762,MT MED60XW  EL DRYER WHIT
41839863,18849,16443,0,41839863,16443,GE DISHWAS GE HER BOTTLEJ
41839867,18849,16483,0,41839867,16483,DW THIRD R GE  BOTTLE WAS
41840017,18849,29622,0,41840017,29622,30 IN CKTO P
41840079,18849,62783,0,41840079,62783,JA 32 HOOD SS
41840087,18849,63633,0,41840087,63633,36IN RANGE  HOOD
41871109,13038,24652,0,41871109,24652,WHP DISH W HITEDISH
41880929,16633,102902,0,41880929,102902,DVG60M9900 W SAM  FLEXDRY
41931963,13073,64173,0,41931963,64173,KME HOOD SS
42004389,13068,20812,0,42004389,20812,WH KENMORE KME  ELITE THI
42047671,16601,86937,0,42047671,86937,OTL SP HOOD WP
42084581,18603,58614,0,42084581,58614,KM HOOD30  210 230CFM BIS
42157865,16601,26419,0,42157865,26419,36 GAS CT 
42157869,16601,26419,0,42157869,26419,36 GAS CT 
42157871,16601,26419,0,42157871,26419,36 GAS CT 
42157881,16601,26419,0,42157881,26419,36 GAS CT 
42188177,13595,81123,0,42188177,81123,30IN GAS S KM LIDE IN
42223565,13185,61773,0,42223565,61773,36SSRH10H REMOTE BLOWER
42448619,17412,25333,0,42448619,25333,MAY DISH S TAINLESS FP RE
42470067,13526,54003,0,42470067,54003,KPRO 30 WD
42474007,13962,8603,0,42474007,8603,EMA BI WC 
42694131,13595,45283,0,42694131,45283,30IN GAS   SI
42700427,16349,68862,0,42700427,68862,30IN FS  ELEC RANGE ADA
